Years_Experience,Education_Level,Job_Role,Location,Salary
0,Bachelor's,Senior Developer,Suburban,70549.35
4,Bachelor's,Junior Developer,Suburban,71797.64
9,Master's,Senior Developer,Metro,140677.69
6,Bachelor's,Manager,Suburban,127551.73
8,Master's,Technical Lead,Rural,124598.41
6,Master's,Manager,Urban,154203.82
8,PhD,Junior Developer,Rural,106504.92
7,Bachelor's,Junior Developer,Urban,93409.67
11,Master's,Manager,Urban,169538.9
1,PhD,Technical Lead,Suburban,128721.78
0,PhD,Junior Developer,Urban,97043.93
15,High School,Technical Lead,Urban,144806.44
4,Bachelor's,Manager,Suburban,118337.85
2,Bachelor's,Senior Developer,Rural,72445.57
11,High School,Technical Lead,Suburban,125346.26
7,Bachelor's,Senior Developer,Metro,121158.53
2,Master's,Senior Developer,Suburban,92524.28
0,Master's,Senior Developer,Urban,96664.8
2,High School,Manager,Urban,120129.43
4,Master's,Manager,Urban,142087.12
14,Bachelor's,Manager,Rural,136343.01
13,Master's,Junior Developer,Suburban,104522.17
2,Master's,Technical Lead,Urban,123901.45
0,Bachelor's,Technical Lead,Suburban,96213.91
4,Bachelor's,Technical Lead,Suburban,113596.69
13,Master's,Technical Lead,Rural,145009.38
6,Bachelor's,Manager,Suburban,126174.61
8,High School,Senior Developer,Metro,111783.33
14,Master's,Senior Developer,Rural,126158.41
14,Bachelor's,Junior Developer,Suburban,94805.02
9,Master's,Senior Developer,Suburban,126724.32
12,Bachelor's,Senior Developer,Urban,128016.42
18,Master's,Technical Lead,Urban,181067.96
6,Bachelor's,Junior Developer,Suburban,71903.39
16,PhD,Junior Developer,Urban,156330.59
19,Master's,Technical Lead,Urban,178959.93
3,High School,Junior Developer,Metro,73789.77
4,Bachelor's,Junior Developer,Urban,79643.31
6,PhD,Junior Developer,Suburban,108949.78
12,Bachelor's,Junior Developer,Suburban,91085.85
14,Bachelor's,Junior Developer,Rural,88220.25
10,Bachelor's,Senior Developer,Suburban,105107.07
3,Bachelor's,Senior Developer,Metro,105745.14
12,Master's,Manager,Suburban,156847.61
6,Bachelor's,Senior Developer,Suburban,90644.06
18,Bachelor's,Technical Lead,Urban,161834.5
1,Bachelor's,Junior Developer,Urban,74380.54
9,Bachelor's,Junior Developer,Rural,79093.24
12,Bachelor's,Technical Lead,Suburban,131200.48
20,High School,Junior Developer,Suburban,112832.82
5,Master's,Senior Developer,Urban,108134.24
11,Bachelor's,Senior Developer,Rural,111916.58
11,Bachelor's,Senior Developer,Suburban,117401.25
19,Master's,Junior Developer,Urban,138561.07
10,Bachelor's,Junior Developer,Suburban,90529.71
6,Master's,Senior Developer,Urban,113596.32
0,Bachelor's,Junior Developer,Suburban,57241.77
0,High School,Technical Lead,Suburban,84265.35
19,Bachelor's,Technical Lead,Metro,177460.95
12,Bachelor's,Director,Urban,183525.77
8,Master's,Junior Developer,Rural,83332.05
2,High School,Manager,Urban,106873.05
6,High School,Senior Developer,Urban,90767.41
5,Bachelor's,Senior Developer,Urban,97232.62
7,Bachelor's,Junior Developer,Suburban,82829.32
8,Master's,Technical Lead,Metro,154871.55
4,Bachelor's,Junior Developer,Suburban,64911.92
0,Bachelor's,Senior Developer,Suburban,80366.02
18,Bachelor's,Junior Developer,Suburban,116078.48
9,Bachelor's,Manager,Rural,129018.0
11,Master's,Technical Lead,Urban,158864.33
14,Bachelor's,Technical Lead,Rural,139549.82
8,Master's,Junior Developer,Rural,84975.84
19,Bachelor's,Junior Developer,Metro,134969.57
16,Bachelor's,Senior Developer,Suburban,129284.15
16,PhD,Senior Developer,Rural,148523.98
19,Bachelor's,Junior Developer,Rural,103969.98
11,High School,Technical Lead,Rural,110599.7
6,Master's,Director,Suburban,172663.01
1,High School,Technical Lead,Urban,94856.02
2,Master's,Technical Lead,Suburban,121497.55
16,Bachelor's,Director,Rural,174241.54
4,Master's,Junior Developer,Urban,91824.39
16,Master's,Senior Developer,Urban,152745.23
16,Bachelor's,Director,Suburban,186648.4
16,PhD,Junior Developer,Urban,144095.99
1,Bachelor's,Technical Lead,Suburban,103909.63
1,PhD,Senior Developer,Suburban,110706.14
4,High School,Senior Developer,Urban,90779.59
0,Bachelor's,Technical Lead,Suburban,91943.42
0,Bachelor's,Manager,Metro,125626.25
18,Bachelor's,Technical Lead,Rural,148049.73
1,Bachelor's,Junior Developer,Urban,71562.03
20,Master's,Manager,Rural,172245.66
11,Master's,Junior Developer,Urban,116620.13
5,PhD,Senior Developer,Urban,132183.84
3,Bachelor's,Senior Developer,Urban,97041.04
10,Bachelor's,Senior Developer,Rural,99514.22
16,Bachelor's,Senior Developer,Urban,136704.87
5,Bachelor's,Manager,Urban,129658.86
4,Bachelor's,Technical Lead,Urban,120080.99
19,Bachelor's,Senior Developer,Urban,147580.08
1,Master's,Junior Developer,Urban,81336.71
5,Bachelor's,Manager,Suburban,118864.74
10,Bachelor's,Manager,Suburban,139049.91
15,High School,Technical Lead,Suburban,131146.71
15,High School,Junior Developer,Rural,78861.37
0,High School,Junior Developer,Metro,68174.12
8,PhD,Junior Developer,Urban,132033.22
5,High School,Junior Developer,Metro,82532.69
15,High School,Senior Developer,Suburban,118991.11
2,Bachelor's,Manager,Metro,144857.33
19,Master's,Senior Developer,Urban,156986.32
3,PhD,Junior Developer,Urban,109636.18
18,Master's,Junior Developer,Urban,146014.93
2,Bachelor's,Junior Developer,Suburban,62915.68
18,Bachelor's,Junior Developer,Urban,124747.25
19,High School,Junior Developer,Urban,109119.98
6,PhD,Junior Developer,Rural,97073.35
19,Master's,Technical Lead,Suburban,173022.35
8,Bachelor's,Director,Metro,195317.13
0,Master's,Senior Developer,Metro,112215.97
7,Master's,Senior Developer,Metro,128749.49
6,Bachelor's,Manager,Urban,130579.0
17,PhD,Junior Developer,Suburban,144256.84
7,Master's,Junior Developer,Suburban,97108.83
0,Bachelor's,Manager,Suburban,109549.41
10,Bachelor's,Junior Developer,Rural,80841.02
17,High School,Senior Developer,Suburban,124636.58
9,Bachelor's,Senior Developer,Suburban,102919.08
2,High School,Junior Developer,Suburban,51476.38
6,Bachelor's,Junior Developer,Metro,97118.47
15,PhD,Technical Lead,Suburban,176914.18
15,Bachelor's,Junior Developer,Metro,123974.92
19,Bachelor's,Junior Developer,Urban,126424.1
16,Bachelor's,Technical Lead,Suburban,148089.14
1,High School,Senior Developer,Suburban,66714.11
0,Master's,Junior Developer,Rural,59355.75
15,Bachelor's,Manager,Suburban,156620.16
11,High School,Senior Developer,Urban,115154.78
4,Bachelor's,Manager,Rural,115044.62
4,Master's,Technical Lead,Suburban,125845.69
8,Master's,Senior Developer,Suburban,110560.07
8,High School,Senior Developer,Metro,112158.36
2,Bachelor's,Director,Urban,152302.86
18,Bachelor's,Junior Developer,Urban,121971.4
15,Bachelor's,Technical Lead,Rural,136369.4
15,Bachelor's,Junior Developer,Urban,108622.69
2,Bachelor's,Junior Developer,Urban,80174.27
19,Bachelor's,Junior Developer,Urban,132580.88
0,Bachelor's,Manager,Metro,131912.81
19,Master's,Director,Suburban,210551.56
10,Bachelor's,Junior Developer,Metro,116915.36
16,Bachelor's,Junior Developer,Metro,133957.62
7,Bachelor's,Technical Lead,Rural,113826.55
3,Bachelor's,Senior Developer,Suburban,86363.79
5,Master's,Junior Developer,Metro,116157.25
7,Bachelor's,Technical Lead,Rural,114067.55
19,Bachelor's,Senior Developer,Urban,149838.15
2,Master's,Director,Metro,184423.89
15,Bachelor's,Junior Developer,Urban,113323.35
2,Bachelor's,Senior Developer,Suburban,78730.0
17,Master's,Senior Developer,Urban,155686.2
13,Bachelor's,Technical Lead,Suburban,138371.64
17,Bachelor's,Senior Developer,Urban,140609.13
1,PhD,Senior Developer,Rural,108065.25
2,High School,Junior Developer,Urban,62068.56
15,Bachelor's,Manager,Urban,166054.28
8,Bachelor's,Senior Developer,Urban,111291.79
3,PhD,Junior Developer,Urban,113124.49
0,High School,Technical Lead,Urban,97807.5
3,High School,Junior Developer,Urban,68094.64
0,High School,Junior Developer,Rural,33010.94
13,High School,Manager,Urban,151816.35
20,High School,Senior Developer,Suburban,136355.07
15,Bachelor's,Technical Lead,Metro,171368.15
19,Bachelor's,Junior Developer,Rural,104562.85
7,Bachelor's,Technical Lead,Suburban,116191.19
6,Bachelor's,Junior Developer,Urban,84698.49
2,High School,Senior Developer,Suburban,69142.49
16,Bachelor's,Director,Rural,177915.63
0,Bachelor's,Technical Lead,Urban,109529.77
15,Master's,Senior Developer,Urban,149159.81
11,High School,Junior Developer,Urban,91009.16
18,Bachelor's,Manager,Suburban,163635.19
13,Bachelor's,Senior Developer,Urban,128304.62
5,Master's,Technical Lead,Suburban,129186.3
5,Master's,Technical Lead,Urban,127952.17
12,Bachelor's,Junior Developer,Urban,105354.44
18,Bachelor's,Junior Developer,Urban,125751.95
7,Master's,Technical Lead,Suburban,135534.33
1,High School,Junior Developer,Rural,34159.82
20,High School,Junior Developer,Suburban,104748.36
0,Bachelor's,Manager,Rural,99335.82
14,High School,Senior Developer,Suburban,102182.19
0,PhD,Technical Lead,Urban,145328.76
4,Master's,Senior Developer,Suburban,103706.37
15,Bachelor's,Senior Developer,Metro,154234.88
18,Bachelor's,Junior Developer,Rural,100251.71
3,PhD,Junior Developer,Urban,107854.56
2,Master's,Junior Developer,Urban,76768.53
16,Bachelor's,Senior Developer,Suburban,125017.24
16,Master's,Technical Lead,Rural,150464.61
11,PhD,Senior Developer,Urban,147349.17
13,Master's,Senior Developer,Suburban,130021.49
20,High School,Senior Developer,Metro,144050.64
5,Bachelor's,Junior Developer,Urban,81970.16
2,Master's,Senior Developer,Metro,123988.45
8,Bachelor's,Junior Developer,Suburban,82460.08
4,Master's,Junior Developer,Urban,99432.83
16,High School,Junior Developer,Urban,109345.17
13,High School,Senior Developer,Urban,121992.59
20,Bachelor's,Technical Lead,Suburban,157940.22
2,High School,Junior Developer,Urban,58243.43
0,PhD,Junior Developer,Suburban,91382.45
19,Master's,Senior Developer,Urban,154489.19
20,Master's,Junior Developer,Suburban,135884.57
0,Bachelor's,Manager,Metro,128704.32
2,Bachelor's,Senior Developer,Rural,78719.99
17,Bachelor's,Senior Developer,Urban,144118.05
9,Bachelor's,Senior Developer,Metro,133186.83
2,Bachelor's,Junior Developer,Urban,70383.18
7,Bachelor's,Senior Developer,Urban,113592.84
13,Bachelor's,Senior Developer,Suburban,124378.85
17,Bachelor's,Manager,Metro,184245.14
14,PhD,Junior Developer,Suburban,131842.6
1,Master's,Senior Developer,Urban,100312.85
9,Bachelor's,Senior Developer,Urban,120756.05
1,Bachelor's,Junior Developer,Urban,80937.38
16,Master's,Senior Developer,Suburban,137273.42
7,High School,Technical Lead,Urban,113165.92
0,Master's,Manager,Urban,133685.66
8,Master's,Junior Developer,Rural,82584.35
10,Bachelor's,Technical Lead,Metro,156073.42
15,Bachelor's,Director,Rural,176861.38
6,Bachelor's,Manager,Suburban,126104.09
9,Bachelor's,Junior Developer,Rural,77565.09
2,High School,Technical Lead,Rural,82920.79
17,Master's,Junior Developer,Metro,146681.57
12,High School,Director,Suburban,156374.56
6,Bachelor's,Senior Developer,Suburban,96914.6
3,PhD,Junior Developer,Suburban,105892.24
12,Master's,Technical Lead,Urban,151964.93
19,Bachelor's,Junior Developer,Urban,123936.86
0,Bachelor's,Director,Suburban,138707.31
7,High School,Director,Suburban,147554.37
13,Bachelor's,Technical Lead,Metro,163244.73
15,High School,Junior Developer,Suburban,90202.73
13,Bachelor's,Technical Lead,Suburban,143249.83
11,PhD,Junior Developer,Suburban,125387.6
18,High School,Junior Developer,Urban,115387.94
14,Master's,Manager,Suburban,166081.11
1,PhD,Junior Developer,Urban,103901.98
1,High School,Senior Developer,Suburban,70707.33
18,Master's,Director,Metro,231345.95
16,Bachelor's,Junior Developer,Suburban,103439.2
19,Master's,Junior Developer,Urban,145149.43
9,Bachelor's,Manager,Suburban,139072.51
5,Bachelor's,Junior Developer,Suburban,64572.6
14,Bachelor's,Technical Lead,Urban,149183.2
10,Master's,Director,Suburban,186169.44
4,Master's,Manager,Metro,148492.29
0,Bachelor's,Technical Lead,Metro,123774.27
7,Master's,Junior Developer,Metro,114835.11
20,Bachelor's,Junior Developer,Rural,116361.13
11,Bachelor's,Manager,Urban,152195.41
11,Bachelor's,Manager,Suburban,139311.73
4,Bachelor's,Senior Developer,Metro,114032.34
6,Bachelor's,Junior Developer,Urban,86078.46
3,PhD,Junior Developer,Urban,106356.6
5,High School,Junior Developer,Suburban,69873.37
12,Bachelor's,Technical Lead,Urban,141515.61
19,Bachelor's,Senior Developer,Rural,118828.18
14,Master's,Manager,Urban,181126.8
2,PhD,Technical Lead,Suburban,134065.75
7,Bachelor's,Junior Developer,Urban,88212.91
19,Master's,Senior Developer,Urban,159368.38
15,High School,Senior Developer,Urban,120721.39
12,Master's,Senior Developer,Suburban,125335.23
17,Bachelor's,Technical Lead,Urban,157412.73
9,Master's,Manager,Suburban,149059.04
18,High School,Manager,Suburban,150992.05
16,Bachelor's,Junior Developer,Rural,101121.45
18,Master's,Junior Developer,Suburban,129530.78
4,Bachelor's,Technical Lead,Suburban,106089.95
20,Bachelor's,Junior Developer,Urban,131434.09
8,High School,Junior Developer,Rural,58928.65
11,Bachelor's,Junior Developer,Suburban,88233.36
20,Bachelor's,Technical Lead,Metro,186757.73
0,High School,Junior Developer,Rural,34514.7
0,Bachelor's,Technical Lead,Urban,105369.8
14,High School,Director,Urban,176377.73
1,Master's,Junior Developer,Metro,92088.25
15,High School,Junior Developer,Urban,110955.07
7,Bachelor's,Junior Developer,Urban,90736.47
12,High School,Manager,Urban,139035.48
20,Bachelor's,Junior Developer,Suburban,122151.46
0,Master's,Senior Developer,Urban,104248.06
15,Bachelor's,Junior Developer,Rural,95670.07
6,Bachelor's,Technical Lead,Metro,144696.09
4,Master's,Senior Developer,Suburban,96628.75
2,Master's,Technical Lead,Urban,118434.71
11,Bachelor's,Manager,Suburban,143242.07
15,Master's,Junior Developer,Urban,129105.98
18,PhD,Manager,Rural,174242.0
4,Bachelor's,Junior Developer,Metro,90305.7
13,Master's,Manager,Urban,167565.35
4,Master's,Technical Lead,Suburban,117232.22
14,Bachelor's,Manager,Urban,157755.83
16,High School,Junior Developer,Urban,108583.15
13,High School,Junior Developer,Urban,92530.38
19,Master's,Senior Developer,Suburban,146867.51
4,PhD,Senior Developer,Suburban,116324.78
11,Bachelor's,Junior Developer,Suburban,97275.64
15,Bachelor's,Senior Developer,Suburban,126738.53
15,Bachelor's,Junior Developer,Metro,118030.58
20,Bachelor's,Senior Developer,Rural,127071.04
6,Bachelor's,Manager,Urban,138314.07
3,High School,Senior Developer,Suburban,79725.57
0,Master's,Junior Developer,Urban,83363.36
4,Bachelor's,Senior Developer,Urban,98377.27
9,Master's,Junior Developer,Metro,114074.49
4,Bachelor's,Director,Suburban,153281.0
3,High School,Junior Developer,Suburban,53412.41
1,Bachelor's,Technical Lead,Suburban,100475.45
19,Bachelor's,Director,Rural,187090.32
9,PhD,Manager,Suburban,163377.88
18,High School,Technical Lead,Suburban,144057.0
0,Master's,Manager,Suburban,120905.84
4,Bachelor's,Director,Urban,158096.84
12,Master's,Senior Developer,Suburban,130284.42
3,Bachelor's,Senior Developer,Suburban,81104.0
15,Master's,Senior Developer,Suburban,136923.99
15,Master's,Senior Developer,Urban,148104.51
1,Bachelor's,Senior Developer,Metro,96260.29
16,High School,Senior Developer,Urban,125971.61
19,Master's,Junior Developer,Urban,143734.58
11,PhD,Junior Developer,Suburban,123987.08
17,High School,Junior Developer,Urban,109263.54
2,Master's,Junior Developer,Suburban,78649.38
0,Master's,Junior Developer,Suburban,68448.8
0,Master's,Senior Developer,Urban,98808.81
18,PhD,Junior Developer,Metro,165893.19
10,Master's,Manager,Rural,141940.25
4,Bachelor's,Junior Developer,Urban,78460.61
11,Bachelor's,Junior Developer,Urban,104196.36
2,Bachelor's,Technical Lead,Rural,95653.84
0,Master's,Senior Developer,Suburban,93164.84
0,Master's,Junior Developer,Suburban,67966.96
7,Bachelor's,Manager,Suburban,120693.68
9,Master's,Manager,Suburban,151766.56
10,Master's,Junior Developer,Suburban,103724.48
11,Bachelor's,Junior Developer,Suburban,89658.83
12,Bachelor's,Director,Urban,187619.76
11,Bachelor's,Senior Developer,Urban,116405.64
13,Bachelor's,Senior Developer,Metro,145720.96
1,Bachelor's,Manager,Suburban,108865.5
18,High School,Junior Developer,Urban,109284.29
17,Bachelor's,Senior Developer,Metro,151913.19
2,Bachelor's,Junior Developer,Urban,72474.06
16,Bachelor's,Technical Lead,Suburban,148151.95
7,High School,Senior Developer,Urban,97593.12
9,Master's,Technical Lead,Suburban,137081.57
1,Bachelor's,Junior Developer,Suburban,61000.96
18,Master's,Junior Developer,Urban,137633.12
8,PhD,Senior Developer,Urban,143009.71
6,Bachelor's,Technical Lead,Rural,103007.24
3,Bachelor's,Senior Developer,Metro,112033.46
20,High School,Junior Developer,Urban,121097.3
17,Bachelor's,Manager,Suburban,161628.55
12,Bachelor's,Junior Developer,Metro,122096.78
10,Bachelor's,Director,Suburban,161154.69
3,Bachelor's,Junior Developer,Metro,87342.42
20,Bachelor's,Technical Lead,Urban,166374.73
3,Bachelor's,Junior Developer,Rural,65625.09
9,Bachelor's,Manager,Urban,148652.88
4,Bachelor's,Senior Developer,Urban,99483.75
8,Bachelor's,Junior Developer,Urban,95739.96
2,Bachelor's,Junior Developer,Metro,90865.1
16,PhD,Junior Developer,Urban,155622.53
2,High School,Junior Developer,Urban,65086.81
15,Bachelor's,Manager,Metro,176949.84
3,Bachelor's,Senior Developer,Urban,94594.54
17,Bachelor's,Technical Lead,Suburban,147551.24
16,PhD,Senior Developer,Metro,186209.79
6,Master's,Technical Lead,Suburban,128564.26
4,Bachelor's,Junior Developer,Urban,78126.12
11,Master's,Junior Developer,Metro,126317.35
16,PhD,Technical Lead,Urban,197000.77
12,Master's,Director,Urban,202210.72
2,Master's,Junior Developer,Urban,93721.58
8,Master's,Junior Developer,Suburban,97716.07
16,High School,Senior Developer,Metro,139427.82
16,High School,Director,Suburban,176098.39
19,Bachelor's,Junior Developer,Rural,103718.79
15,High School,Senior Developer,Suburban,107954.32
12,Bachelor's,Manager,Urban,157429.36
18,Bachelor's,Junior Developer,Urban,120861.29
16,Bachelor's,Junior Developer,Urban,119045.83
3,Master's,Senior Developer,Suburban,104061.87
11,PhD,Manager,Suburban,172538.18
8,High School,Junior Developer,Rural,68641.93
18,Bachelor's,Senior Developer,Suburban,130637.22
11,Master's,Senior Developer,Urban,139160.78
8,High School,Senior Developer,Rural,82299.02
6,Master's,Senior Developer,Suburban,113976.38
13,Bachelor's,Senior Developer,Suburban,114135.21
19,Bachelor's,Senior Developer,Rural,137028.08
18,PhD,Senior Developer,Suburban,166884.9
14,Bachelor's,Senior Developer,Suburban,124506.59
15,Bachelor's,Senior Developer,Urban,140777.95
20,Master's,Manager,Urban,191581.35
4,High School,Junior Developer,Urban,71102.91
2,Bachelor's,Manager,Metro,133314.12
11,PhD,Manager,Suburban,180787.85
19,High School,Junior Developer,Urban,112759.28
20,Master's,Senior Developer,Metro,177154.03
3,Bachelor's,Senior Developer,Suburban,87824.48
20,Bachelor's,Junior Developer,Metro,147137.2
15,Bachelor's,Senior Developer,Rural,122873.91
6,Bachelor's,Junior Developer,Suburban,74392.12
12,PhD,Junior Developer,Rural,122954.94
20,PhD,Manager,Urban,221881.03
9,Bachelor's,Junior Developer,Urban,96462.93
6,Master's,Manager,Urban,146999.47
13,Bachelor's,Senior Developer,Suburban,111679.87
4,Bachelor's,Manager,Suburban,127333.1
2,Bachelor's,Senior Developer,Rural,72422.22
10,Bachelor's,Junior Developer,Suburban,84994.57
10,Bachelor's,Technical Lead,Metro,146566.68
17,Master's,Junior Developer,Suburban,120387.14
14,Bachelor's,Senior Developer,Urban,135478.82
11,High School,Manager,Urban,144431.47
8,Bachelor's,Junior Developer,Suburban,85208.49
9,Bachelor's,Senior Developer,Urban,116329.35
11,Master's,Technical Lead,Rural,130217.92
16,Bachelor's,Manager,Rural,145280.24
5,Bachelor's,Technical Lead,Rural,98573.52
6,Bachelor's,Junior Developer,Urban,88491.28
13,Bachelor's,Technical Lead,Suburban,134346.75
12,Bachelor's,Junior Developer,Urban,102543.02
7,Bachelor's,Technical Lead,Urban,128666.05
9,Master's,Director,Suburban,172120.8
8,Master's,Technical Lead,Urban,145787.09
17,Bachelor's,Manager,Urban,170971.39
1,High School,Junior Developer,Rural,42936.84
4,Bachelor's,Technical Lead,Suburban,106520.54
4,High School,Manager,Urban,112603.22
5,Bachelor's,Junior Developer,Suburban,71503.76
18,Bachelor's,Manager,Urban,170207.63
7,Bachelor's,Junior Developer,Suburban,79556.62
15,Bachelor's,Technical Lead,Suburban,137560.26
12,High School,Manager,Suburban,130978.62
0,Bachelor's,Technical Lead,Suburban,93286.51
19,Bachelor's,Junior Developer,Urban,130071.03
16,Bachelor's,Senior Developer,Suburban,124957.74
6,Bachelor's,Senior Developer,Urban,99255.62
12,Master's,Manager,Metro,180592.72
3,Bachelor's,Senior Developer,Urban,97879.54
3,PhD,Junior Developer,Urban,108515.18
5,Bachelor's,Technical Lead,Suburban,110554.71
18,Master's,Senior Developer,Suburban,144913.75
11,Bachelor's,Senior Developer,Urban,122651.79
6,Master's,Senior Developer,Suburban,105642.21
9,Master's,Manager,Urban,157486.07
18,Bachelor's,Senior Developer,Suburban,137601.79
6,Bachelor's,Senior Developer,Urban,100994.71
2,Bachelor's,Junior Developer,Metro,86225.33
12,Bachelor's,Junior Developer,Metro,111244.04
12,High School,Junior Developer,Urban,94311.72
17,Bachelor's,Junior Developer,Urban,117484.76
19,Bachelor's,Senior Developer,Urban,151878.37
7,Bachelor's,Technical Lead,Urban,123492.21
8,Master's,Senior Developer,Rural,107368.32
6,Bachelor's,Manager,Suburban,131084.52
0,PhD,Director,Suburban,165877.24
2,Bachelor's,Manager,Metro,132952.46
12,Bachelor's,Technical Lead,Suburban,131623.22
16,Bachelor's,Senior Developer,Urban,136256.55
0,Bachelor's,Senior Developer,Urban,89069.69
5,Master's,Junior Developer,Urban,93729.98
20,Bachelor's,Senior Developer,Urban,146516.17
5,Master's,Manager,Suburban,127924.99
11,Bachelor's,Manager,Urban,158607.79
12,Bachelor's,Junior Developer,Urban,112121.98
12,Bachelor's,Senior Developer,Suburban,117640.95
14,Bachelor's,Manager,Suburban,148558.47
20,Bachelor's,Junior Developer,Urban,133990.81
15,Bachelor's,Senior Developer,Urban,138794.83
20,High School,Manager,Rural,147983.01
10,Bachelor's,Senior Developer,Urban,119165.47
4,High School,Junior Developer,Urban,72727.07
3,Bachelor's,Senior Developer,Suburban,80038.15
2,Bachelor's,Manager,Metro,140393.69
18,Bachelor's,Senior Developer,Urban,143363.38
19,Bachelor's,Junior Developer,Urban,123349.69
17,High School,Senior Developer,Urban,125278.77
14,Bachelor's,Senior Developer,Suburban,118341.11
8,Bachelor's,Senior Developer,Suburban,97759.72
16,Bachelor's,Technical Lead,Suburban,155285.56
13,Master's,Junior Developer,Suburban,113564.81
14,High School,Manager,Suburban,144057.93
0,Bachelor's,Junior Developer,Metro,82249.47
20,Bachelor's,Senior Developer,Urban,151244.91
2,Bachelor's,Junior Developer,Urban,73699.02
15,Bachelor's,Senior Developer,Metro,146409.95
10,Bachelor's,Senior Developer,Urban,117736.87
